25时miku,25-ji miku
艾俊·阿格勒斯特（奇迹少女）,adrien agreste
成年涅普顿（超次元游戏海王星）,adult neptune
冒险者（最终幻想11）,adventurer (ff11)
冒险者（最终幻想14）,adventurer (ff14)
红细胞（工作细胞）,ae-3803
埃吉尔（碧蓝航线）,aegir (azur lane)
埃吉尔（东京放学后召唤师）,aegir (housamo)
埃癸斯（女神异闻录）,aegis (persona)
艾丽丝·盖恩斯巴勒（最终幻想7）,aerith gainsborough
艾丽丝·盖恩斯巴勒（红礼服）（最终幻想7）,aerith gainsborough (red dress)
梣（Fate）,aesc (fate)
梣（雨之魔女）（Fate）,aesc (rain witch) (fate)
空（原神）,aether (genshin impact)
以太基金会职员（宝可梦）,aether foundation employee
非洲野犬（兽娘动物园）,african wild dog (kemono friends)
亚风炉照美（闪电十一人）,afuro terumi
阿贺野（舰队Collection）,agano (kancolle)
我妻善逸（鬼灭之刃）,agatsuma zenitsu
阿格莱雅（崩坏：星穹铁道）,aglaea (honkai  star rail)
亚妮艾丝·克劳蒂尔（英雄传说 黎之轨迹）,agnes claudel
爱丽数码（赛马娘）,agnes digital (umamusume)
爱丽速子（疯狂实验室）（赛马娘）,agnes tachyon (lunatic lab) (umamusume)
爱丽速子（赛马娘）,agnes tachyon (umamusume)
阿格莉亚丝·奥克斯（最终幻想14）,agrias oaks
雅喜儿（萩萩公主）,ahiru (princess tutu)
阿狸（英雄联盟）,ahri (league of legends)
相田爱（光之美少女）,aida mana
蓝原芽衣（citrus）,aihara mei
蓝原柚子（citrus）,aihara yuzu
爱城华恋（少女歌剧）,aijou karen
蓝华·S·葛兰契斯塔（水星领航员）,aika granzchesta
艾拉·尤基艾宁（高达创战者）,aila jyrkiainen
艾尔（洛克人ZX）,aile (mega man zx)
aina (mao lian),aina (mao lian)
爱乃惠（光之美少女）,aino megumi
爱野美奈子（美少女战士）,aino minako
气槽（赛马娘）,air groove (umamusume)
空中神宫（赛马娘）,air shakur (umamusume)
艾拉妮·伊歐菲芙婷（Hololive）,airani iofifteen
艾拉妮·伊歐菲芙婷（第一服装）（Hololive）,airani iofifteen (1st costume)
空母栖鬼（舰队Collection）,aircraft carrier oni
空母水鬼（舰队Collection）,aircraft carrier water oni
飞机场姬（舰队Collection）,airfield princess
栗村爱莉（乐队）（碧蓝档案）,airi (band) (blue archive)
栗村爱莉（碧蓝档案）,airi (blue archive)
艾依莉（女皇之刃）,airi (queen's blade)
艾依莉（冥土的诱惑）（女皇之刃）,airi (the infernal temptress)
逢坂大河（龙与虎）,aisaka taiga
爱崎惠美瑠（光之美少女）,aisaki emiru
爱莎·兰德尔（艾尔之光）,aisha landar
蓝泽艾玛（Vtuber),aizawa ema
相泽一叶（突击莉莉）,aizawa kazuha
库胡勒阿乔（原神）,ajaw (genshin impact)
AK-12（少女前线）,ak-12 (girls' frontline)
AK-15（少女前线）,ak-15 (girls' frontline)
赤城（碧蓝航线）,akagi (azur lane)
赤城（舰队Collection）,akagi (kancolle)
赤城米莉亚（偶像大师灰姑娘）,akagi miria
小赤城（碧蓝航线）,akagi-chan (azur lane)
赤井心（Hololive）,akai haato
赤井心（第一服装）（Hololive）,akai haato (1st costume)
赤井心（哥特萝莉）（Hololive）,akai haato (gothic lolita)
阿卡莉（英雄联盟）,akali
赤松枫（弹丸论破）,akamatsu kaede
室笠朱音（蔚蓝档案）,akane (blue archive)
室笠朱音（兔女郎）（蔚蓝档案）,akane (bunny) (blue archive)
小照（宝可梦）,akari (pokemon)
明石（碧蓝航线）,akashi (azur lane)
明石（舰队Collection）,akashi (kancolle)
魂群赤司 (live a hero),akashi (live a hero)
赤夜萌香（吸血鬼Rosario+Vampire）,akashiya moka
晓 (舰队Collection）,akatsuki (kancolle)
晓二改 (舰队Collection）,akatsuki kai ni (kancolle)
晓切歌（战姬绝唱）,akatsuki kirika
赤月優虹（vtuber）,akatsuki uni
赤座灯里（摇曳百合）,akaza akari
赤堤桃子（飞天小女警）,akazutsumi momoko
曙 (舰队Collection）,akebono (kancolle)
曙二改 (舰队Collection）,akebono kai ni (kancolle)
明智吾郎（女神异闻录）,akechi gorou
晓美焰（魔法少女小圆）,akemi homura
晓美焰（丧服）（魔法少女小圆）,akemi homura (black dress)
阿肯修弗斯 (御城收藏),akershus fortress (oshiro project)
绯田美琴（偶像大师闪耀色彩）,aketa mikoto
秋穣子（东方project）,aki minoriko
亚绮·罗森塔尔（vtuber）,aki rosenthal
亚绮·罗森塔尔初代服装（vtuber）,aki rosenthal (1st costume)
秋静叶（东方Project）,aki shizuha
秋云（舰队collection）,akigumo (kancolle)
秋云二改（舰队collection）,akigumo kai ni (kancolle)
菲莉丝·喵喵（命运石之门）,akiha rumiho
秋川弥生（赛马娘）,akikawa yayoi (umamusume)
清澄晶（蔚蓝档案）,akira (blue archive)
秋霜（舰队collection）,akishimo (kancolle)
秋津丸（舰队collection）,akitsu maru (kancolle)
秋津洲（舰队collection）,akitsushima (kancolle)
秋山澪（轻音少女）,akiyama mio
晓山瑞希（世界计划缤纷舞台）,akiyama mizuki
秋山凜子（对魔忍）,akiyama rinko
秋山优花里（少女与战车）,akiyama yukari
秋月（舰队collection）,akizuki (kancolle)
秋月律子（偶像大师）,akizuki ritsuko
秋月凉（偶像大师）,akizuki ryo
天雨亚子（蔚蓝档案）,ako (blue archive)
天雨亚子（礼服）（蔚蓝档案）,ako (dress) (blue archive)
恶魔焰（魔法少女小圆）,akuma homura
 阿尔·阿吉夫 （机神咆哮）,al azif (demonbane)
天壤劫火·亚拉斯特尔（灼眼的夏娜）,alastor (shakugan no shana)
阿贝多（原神）,albedo (genshin impact)
雅儿贝德 (overlord),albedo (overlord)
阿尔坎德（丧物志）,alca (wakatanka4)
炼金术士 (仙境传说),alchemist (ragnarok online)
阿契娜·蒂米特雷斯庫（恶灵古堡）,alcina dimitrescu
琉尔（女）（火焰纹章),alear (female) (fire emblem)
琉尔（火焰纹章）,alear (fire emblem)
琉尔（男）（火焰纹章）,alear (male) (fire emblem)
亚历珊朵拉·I·波克尔什金（强袭魔女）,aleksandra i. pokryshkin
亚历山德丽娜·莎芭丝缇安（绝区零）,alexandrina sebastiane
阿尔冯斯（火焰纹章）,alfonse (fire emblem)
艾尔海森（原神）,alhaitham (genshin impact)
阿里巴巴.沙尔贾（魔笛MAGI）,alibaba saluja
爱丽丝（爱丽丝梦游仙境）,alice (alice in wonderland)
爱丽丝 (nikke),alice (nikke)
爱丽丝卡罗尔（水星领航员The AVVENIRE）,alice carroll
爱丽丝·卡塔雷特（黄金拼图）,alice cartelet
爱丽丝 (爱丽丝梦游魔境),alice liddell (american mcgee's alice)
爱丽丝·玛格特罗依德（东方project）,alice margatroid
爱丽丝·玛格特罗依德（东方project pc-98),alice margatroid (pc-98)
爱丽丝·滋贝鲁库（刀剑神域）,alice zuberg
阿丽莎（碧蓝幻想）,alicia (granblue fantasy)
艾莉西亚·佛罗伦斯（水星领航员）,alicia florence
阿莉娜·格雷（魔法少女小圆）,alina gray
爱丽丝菲兹·菲伊塔鲁贝露（勇者大战魔物娘）,alipheese fateburn xvi
亚莉莎·伊莉妮提娜·阿米耶拉（噬神者）,alisa ilinichina amiella
艾莉莎·米哈伊罗夫纳·九条（不时轻声地以俄语遮羞的邻座艾莉同学）,alisa mikhailovna kujou
亚莉莎·莱恩福尔特（英雄传说）,alisa reinford
爱莉莎·南十字星（KERORO军曹）,alisa southerncross
阿丽莎（碧蓝幻想）,aliza (granblue fantasy)
阿雷路亚·哈普提森（高达）,allelujah haptism
亚连‧阿瓦多尼亚（恶之系列）,allen avadonia
阿莱茵（女皇之刃）,alleyne (queen's blade)
阿罗拉六尾（宝可梦）,alolan vulpix
苏利羊驼（兽娘动物园）,alpaca suri (kemono friends)
阿尔冯斯·爱力克（钢之炼金术师）,alphonse elric
七夕青鸟（宝可梦）,altaria
阿蒂拉 (fate),altera (fate)
亚尔缇娜·奥莱恩（英雄传说）,altina orion
天江衣（天才麻将少女）,amae koromo
天濑冬马（偶像大师）,amagase touma
天城（碧蓝航线）,amagi (azur lane)
天城（舰队collection）,amagi (kancolle)
天城燐音（偶像梦幻祭）,amagi rinne
天城雪子（女神异闻录）,amagi yukiko
小天城（碧蓝航线）,amagi-chan (azur lane)
天雾（舰队collection）,amagiri (kancolle)
天草四郎 (fate),amakusa shirou (fate)
天海春香（偶像大师）,amami haruka
天海兰太郎（弹丸论破）,amami rantaro
天宫爱莲娜（Star☆Twinkle光之美少女）,amamiya elena
雨宫响也（阳炎Project）,amamiya hibiya
天宫心（VTuber）,amamiya kokoro
天城燐音（偶像梦幻祭）,amamiya ren
阿曼妮·卡娜塔（Vtuber）,amane kanata
阿曼妮·卡娜塔（1号服装）（Vtuber）,amane kanata (1st costume)
阿曼妮·卡娜塔（护士）（Vtuber）,amane kanata (nurse)
阿曼妮·卡娜塔（工作）（Vtuber）,amane kanata (work)
阿曼妮·美沙,amane misa
阿曼妮·铃羽,amane suzuha
天野阳菜（天气之子）,amano hina (tenki no ko)
天野皮卡米（Vtuber）,amano pikamee
天川绮罗拉,amanogawa kirara
雨宫优子,amasawa yuuko
甘味羽里叶,amate yuzuriha
大神（天照）（游戏角色）,amaterasu (ookami)
天城风（舰队Collection）,amatsukaze (kancolle)
亚马逊女战士（龙之皇冠）,amazon (dragon's crown)
琥珀（原神）,amber (genshin impact)
雨酱（雨ちゃん）（Needy Girl Overdose）,ame-chan (needy girl overdose)
阿米（美国）（黑塔利亚）,america (hetalia)
艾蜜莉昂（ZONE-0 无尽的地带）,amillion (zenless zone zero)
艾米蒂·布莱特（The Owl House）,amity blight
阿米娅（明日方舟）,amiya (arknights)
艾咪·罗斯（索尼克）,amy rose
AN94（少女前线）,an-94 (girls' frontline)
安娜（守望先锋）,ana (overwatch)
安娜·科波拉,ana coppola
安娜贝尔（宝可梦）,anabel (pokemon)
阿纳斯塔西娅（Fate）,anastasia (fate)
安娜斯塔西亚（偶像大师）,anastasia (idolmaster)
阿纳斯塔西娅（泳装Archer）（Fate）,anastasia (swimsuit archer) (fate)
安比·德马拉,anby demara
安赛瑞尔·圣,anceril sacred
安克雷奇（碧蓝航线）,anchorage (azur lane)
安丘比（少女与战车）,anchovy (girls und panzer)
安迪拉（碧蓝幻想）,andira (granblue fantasy)
武部沙织（少女与战车）,andou (girls und panzer)
人造人18号（龙珠）,android 18
人造人21号（龙珠）,android 21
根岸涅,anegasaki nene
安蒙（交响诗篇）,anemone (eureka seven)
安洁（Princess Principal）,ange (princess principal)
安洁莉卡·卡特琳娜,ange katrina
安洁莉卡·卡特琳娜（第一套装）,ange katrina (1st costume)
天使（KOF）,angel (kof)
天使恶魔（点居人）,angel devil (chainsaw man)
闪耀天使少女,angel girl (shimmer)
安吉拉（Project Moon）,angela (project moon)
安吉拉·巴尔扎克,angela balzac
安洁莉娅（少女前线）,angelia (girls' frontline)
安吉莉卡（Project Moon）,angelica (project moon)
安洁莉娜（明日方舟）,angelina (arknights)
安洁莉娜（尊贵访客）（明日方舟）,angelina (distinguished visitor) (arknights)
安洁莉娜（夏卉）（明日方舟）,angelina (summer flower) (arknights)
天女兽,angewomon
阿尼拉（碧蓝幻想）,anila (granblue fantasy)
阿妮斯（胜利女神：妮姬）,anis (nikke)
阿妮斯（闪耀夏日）妮斯（胜利女神：妮姬）,anis (sparkling summer) (nikke)
安斯菲亚·温·帕莱蒂亚,anisphia wynn palettia
安重奈须,anjou naruko
香子（GochiUsa!!）,anko (gochiusa)
安娜（冰雪奇缘),anna (frozen)
安妮·邦尼（Fate）,anne bonny (fate)
安妮（英雄联盟）,annie (league of legends)
阿尼·利昂纳德（进击的巨人）,annie leonhart
安赛尔（明日方舟）,ansel (arknights)
安东尼奥·萨列里（Fate）,antonio salieri (fate)
安东尼奥·萨列里（二破）（Fate）,antonio salieri (second ascension) (fate)
阿尼亚（间谍过家家）,anya (spy x family)
安雅·阿尔斯特莱因,anya alstreim
阿尼亚·梅尔菲萨,anya melfissa
阿尼亚·梅尔菲萨（第一套装）,anya melfissa (1st costume)
安岐姬,anyoji hime
安祖（偶像梦幻祭）,anzu (ensemble stars!)
青井伊三,ao isami
小青（指Vtuber戌神沁音的爱称）,ao-chan (ninomae ina'nis)
青叶（舰队Collection）,aoba (kancolle)
青叶可可奈,aoba kokona
青叶摩卡,aoba moca
葵（蔚蓝档案）,aoi (blue archive)
青木礼香,aoki reika
青山栞香,aoyama sumika
苍崎青子,aozaki aoko
苍崎橙子,aozaki touko
阿波尼亚（崩坏3）,aponia (honkai impact)
杏子·巫妖,apricot the lich
阿库娅（为美好的世界献上祝福！）,aqua (konosuba)
水上飞机母舰·鹞鹰（舰队Collection）,aquila (kancolle)
阿拉翰,ara haan
新垣绫濑,aragaki ayase
新垣真次郎,aragaki shinjirou
阿拉依古马桑,araiguma-san
荒木日菜,araki hina
兰那罗（原神）,aranara (genshin impact)
阿良良木火怜（物语系列）,araragi karen
阿良良木历（物语系列）,araragi koyomi
阿良良木月火（物语系列）,araragi tsukihi
嵐,arashi (kancolle)
岚千砂都,arashi chisato
凉风（舰队Collection）,arashio (kancolle)
凉风改二（舰队Collection）,arashio kai ni (kancolle)
荒泷一斗,arataki itto
大主教（仙境传说Online）,arch bishop (ragnarok online)
Archer（卫宫士郎）（fate/stay night）,archer (fate)
Archer（周瑜）（fate/samurai remnant）,archer (fate/samurai remnant)
空弦（明日方舟）,archetto (arknights)
建筑师（少女前线）,architect (girls' frontline)
爱尔奎特·布伦史塔德（月姬）,arcueid brunestud
*阿芙,arf
阿尔加利亚（月计）,argalia (project moon)
银枝（崩坏：星穹铁道）,argenti (honkai  star rail)
*亚瑞安妮·杨（SIGNALIS）,ariane yeong
*在原七海（Riddle Joker),arihara nanami
*爱莉卡·梦宫（舞-乙HiME）,arika yumemiya
有马加奈（我推的孩子）,arima kana
*有马千奈,arima senne
爱丽丝（蔚蓝档案）,aris (blue archive)
爱丽丝（女仆）（蔚蓝档案）,aris (maid) (blue archive)
爱丽莎·巴尼斯（魔法少女奈叶）,arisa bunnings
有栖川向阳（光之美少女）,arisugawa himari
有栖川夏叶（偶像大师闪耀色彩）,arisugawa natsuha
阿周那（Fate）,arjuna (fate)
狂周那（Fate）,arjuna alter (fate)
皇家方舟（碧蓝航线）,ark royal (azur lane)
皇家方舟（舰队Collection）,ark royal (kancolle)
亚鲁鲁·娜嘉（噗哟噗哟）,arle nadja
「仆人」阿蕾奇诺（原神）,arlecchino (genshin impact)
阿尔敏·阿诺德（进击的巨人）,armin arlert
阿罗娜（蔚蓝档案）,arona (blue archive)
阿露丝·阿尔玛（Vtuber）,ars almal
**左然（未定事件簿）,artem wing (tears of themis)
**亚提密斯（美少女战士）,artemis (sailor moon)
亚瑟·潘德拉贡（Fate）,arthur pendragon (fate)
阿尔托莉雅·卡斯特（Fate）,artoria caster (fate)
阿尔托莉雅·卡斯特（一破形态）（Fate）,artoria caster (first ascension) (fate)
阿尔托莉雅·卡斯特（二破形态）（Fate）,artoria caster (second ascension) (fate)
泳装狂阶阿尔托莉雅（Fate）,artoria caster (swimsuit berserker) (fate)
泳装狂阶阿尔托莉雅（一破形态）（Fate）,artoria caster (swimsuit berserker) (first ascension) (fate)
阿尔托莉雅·卡斯特（三破形态）（Fate）,artoria caster (third ascension) (fate)
泳装骑阶阿尔托莉雅alter（Fate）,artoria pendragon (alter swimsuit rider) (fate)
泳装骑阶阿尔托莉雅alter（二破形态）（Fate）,artoria pendragon (alter swimsuit rider) (second ascension) (fate)
阿尔托莉雅·潘德拉贡（Fate）,artoria pendragon (fate)
枪阶阿尔托莉雅alter（Fate）,artoria pendragon (lancer alter) (fate)
枪阶阿尔托莉雅alter（皇家糖霜礼服）（Fate）,artoria pendragon (lancer alter) (royal icing) (fate)
枪阶阿尔托莉雅（Fate）,artoria pendragon (lancer) (fate)
泳装弓阶阿尔托莉雅（Fate）,artoria pendragon (swimsuit archer) (fate)
泳装弓阶阿尔托莉雅（一破形态）（Fate）,artoria pendragon (swimsuit archer) (first ascension) (fate)
泳装裁定者阿尔托莉雅（Fate）,artoria pendragon (swimsuit ruler) (fate)
泳装裁定者阿尔托莉雅（一破形态）（Fate）,artoria pendragon (swimsuit ruler) (first ascension) (fate)
陆八魔亚瑠（蔚蓝档案）,aru (blue archive)
礼服陆八魔亚瑠（蔚蓝档案）,aru (dress) (blue archive)
**阿鲁兰德（Vtuber）,arurandeisu
阿露露（传颂之物）,aruruu
派帕（宝可梦）,arven (pokemon)
**浅羽悠真（绝区零）,asaba harumasa
朝田诗乃（刀剑神域）,asada shino
浅上藤乃（空之境界）,asagami fujino
朝云（舰队Collection）,asagumo (kancolle)
*朝比奈日和（阳炎Project）,asahina hiyori
朝比奈真冬（世界计划 彩色舞台 feat. 初音未来）,asahina mafuyu
朝比奈实玖瑠（凉宫春日）,asahina mikuru
朝香果林（Lovelive）,asaka karin
朝风（舰队Collection）,asakaze (kancolle)
**朝仓理香子（东方project）,asakura rikako
朝仓凉子（凉宫春日）,asakura ryouko
浅仓透（偶像大师闪耀色彩）,asakura toru
**浅草绿（别对映像研出手）,asakusa midori
佐藤麻美（科拉传奇）,asami sato
麻宫雅典娜（拳皇）,asamiya athena
浅利七海（偶像大师灰姑娘）,asari nanami
朝霜（舰队Collection）,asashimo (kancolle)
朝潮（舰队Collection）,asashio (kancolle)
朝潮改二（舰队Collection）,asashio kai ni (kancolle)
阿斯克勒庇俄斯（Fate）,asclepius (fate)
小智（宝可梦）,ash ketchum
艾希（英雄联盟）,ashe (league of legends)
艾雪·班纳甘·达尔马斯卡（最终幻想XII）,ashelia b'nargin dalmasca
芦户三奈（我的英雄学院）,ashido mina
足柄（舰队Collection）,ashigara (kancolle)
足柄改二（舰队Collection）,ashigara kai ni (kancolle)
芦屋道满（Fate）,ashiya douman (fate)
艾希莉（瓦力欧制造）,ashley (warioware)
阿什莉·格拉汉姆（生化危机）,ashley graham
爱西亚·阿基多（恶魔高中D×D）,asia argento
阿斯摩德乌斯（海猫鸣泣之时）,asmodeus (umineko)
**艾斯利尔·逐梦（传说之下）,asriel dreemurr
阿萨姆（少女与战车）,assam (girls und panzer)
哈桑·萨巴赫（Fate/Zero）,assassin (fate/zero)
十字刺客（仙境传说）,assassin cross (ragnarok online)
艾瑟依拉姆·薇瑟·艾莉欧斯亚（ALDNOAH.ZERO）,asseylum vers allusia
艾丝妲（崩坏：星穹铁道）,asta (honkai  star rail)
亚斯塔禄（神罗万象）,astaroth (shinrabanshou)
星极（明日方舟）,astesia (arknights)
阿斯托尔福（Fate）,astolfo (fate)
阿斯托尔福（图利法斯的回忆）（Fate）,astolfo (memories at trifas) (fate)
剑阶阿斯托尔福（Fate）,astolfo (saber) (fate)
剑阶阿斯托尔福（一破形态）（Fate）,astolfo (saber) (first ascension) (fate)
阿斯托尔福（水手服）（Fate）,astolfo (sailor paladin) (fate)
真弓快车（赛马娘）,aston machan (umamusume)
蛙吹梅雨（我的英雄学院）,asui tsuyu
飞鸟（闪乱神乐）,asuka (senran kagura)
明日奈（蔚蓝档案）,asuna (blue archive)
明日奈（兔女郎）（蔚蓝档案）,asuna (bunny) (blue archive)
asuna (sao),asuna (sao)
asuna (sao-alo),asuna (sao-alo)
asuna (school uniform) (blue archive),asuna (school uniform) (blue archive)
atago (azur lane),atago (azur lane)
atago (kancolle),atago (kancolle)
atago (stunning speedster) (azur lane),atago (stunning speedster) (azur lane)
atago (summer march) (azur lane),atago (summer march) (azur lane)
atalanta (fate),atalanta (fate)
atalanta alter (fate),atalanta alter (fate)
atarashi ako,atarashi ako
athena cykes,athena cykes
atlanta (kancolle),atlanta (kancolle)
atou haruki,atou haruki
atri,atri
atsuko (blue archive),atsuko (blue archive)
atsuko (swimsuit) (blue archive),atsuko (swimsuit) (blue archive)
atsushi toushirou,atsushi toushirou
aty (summon night),aty (summon night)
aubrey (faraway) (omori),aubrey (faraway) (omori)
aubrey (headspace) (omori),aubrey (headspace) (omori)
aubrey (omori),aubrey (omori)
august von parseval (azur lane),august von parseval (azur lane)
aura (sousou no frieren),aura (sousou no frieren)
aurochs (kemono friends),aurochs (kemono friends)
aurora (arknights),aurora (arknights)
aurora sya lis kaymin,aurora sya lis kaymin
aventurine (honkai  star rail),aventurine (honkai  star rail)
awa subaru,awa subaru
ayachi nene,ayachi nene
ayanami (azur lane),ayanami (azur lane)
ayanami (kancolle),ayanami (kancolle)
ayanami (retrofit) (azur lane),ayanami (retrofit) (azur lane)
ayanami kai ni (kancolle),ayanami kai ni (kancolle)
ayanami rei,ayanami rei
ayane (blue archive),ayane (blue archive)
ayane (doa),ayane (doa)
ayase eli,ayase eli
ayase honoka,ayase honoka
ayase seiko,ayase seiko
ayase yue,ayase yue
ayatsuji tsukasa,ayatsuji tsukasa
ayin (project moon),ayin (project moon)
ayunda risu,ayunda risu
ayunda risu (1st costume),ayunda risu (1st costume)
azki (4th costume) (hololive),azki (4th costume) (hololive)
azki (hololive),azki (hololive)
azul ashengrotto,azul ashengrotto
azula,azula
azuma (azur lane),azuma (azur lane)
azumarill,azumarill
azura (fire emblem),azura (fire emblem)
azusa (blue archive),azusa (blue archive)
azusa (swimsuit) (blue archive),azusa (swimsuit) (blue archive)
azusawa kohane,azusawa kohane
bache (azur lane),bache (azur lane)
bachira meguru,bachira meguru
backbeako,backbeako
backbeard,backbeard
bae minah (chaesu),bae minah (chaesu)
bagpipe (arknights),bagpipe (arknights)
baiken,baiken
bailu (honkai  star rail),bailu (honkai  star rail)
baizhu (genshin impact),baizhu (genshin impact)
bakugou katsuki,bakugou katsuki
baltimore (after-school ace) (azur lane),baltimore (after-school ace) (azur lane)
baltimore (azur lane),baltimore (azur lane)
baltimore (finish line flagbearer) (azur lane),baltimore (finish line flagbearer) (azur lane)
bambietta basterbine,bambietta basterbine
banana (girls' frontline),banana (girls' frontline)
banzoin hakka,banzoin hakka
baobhan sith (fate),baobhan sith (fate)
baobhan sith (first ascension) (fate),baobhan sith (first ascension) (fate)
baobhan sith (second ascension) (fate),baobhan sith (second ascension) (fate)
baobhan sith (swimsuit pretender) (fate),baobhan sith (swimsuit pretender) (fate)
baobhan sith (swimsuit pretender) (first ascension) (fate),baobhan sith (swimsuit pretender) (first ascension) (fate)
baobhan sith (swimsuit pretender) (third ascension) (fate),baobhan sith (swimsuit pretender) (third ascension) (fate)
barbara (genshin impact),barbara (genshin impact)
barbara (summertime sparkle) (genshin impact),barbara (summertime sparkle) (genshin impact)
bardiche,bardiche
barghest (fate),barghest (fate)
barghest (second ascension) (fate),barghest (second ascension) (fate)
barghest (swimsuit archer) (fate),barghest (swimsuit archer) (fate)
barnaby brooks jr.,barnaby brooks jr.
baron bunny (genshin impact),baron bunny (genshin impact)
basil (faraway) (omori),basil (faraway) (omori)
basil (headspace) (omori),basil (headspace) (omori)
basil (omori),basil (omori)
batsubyou,batsubyou
battleship princess,battleship princess
battleship water oni,battleship water oni
bayonetta,bayonetta
bb (fate),bb (fate)
bb (fate/extra),bb (fate/extra)
bb (swimsuit mooncancer) (fate),bb (swimsuit mooncancer) (fate)
bb (swimsuit mooncancer) (first ascension) (fate),bb (swimsuit mooncancer) (first ascension) (fate)
bb (swimsuit mooncancer) (second ascension) (fate),bb (swimsuit mooncancer) (second ascension) (fate)
bb (swimsuit mooncancer) (third ascension) (fate),bb (swimsuit mooncancer) (third ascension) (fate)
bb dubai (fate),bb dubai (fate)
bea (pokemon),bea (pokemon)
beanstalk (arknights),beanstalk (arknights)
贝亚特丽丝（碧翠丝） - 《Re:从零开始的异世界生活》,beatrice (re zero)
贝阿朵莉切 - 《海猫鸣泣之时》,beatrice (umineko)
贝娅特丽克丝 - 《碧蓝幻想》,beatrix (granblue fantasy)
贝琪·布莱克贝尔 - 《间谍过家家》,becky blackbell
彼特 - 《宝可梦》,bede (pokemon)
贝狄威尔 - 《Fate》系列,bedivere (fate)
别西卜 - 《地狱把妹王》,beelzebub (helltaker)
蜜蜡 - 《明日方舟》,beeswax (arknights)
北斗 - 《原神》,beidou (genshin impact)
白俄罗斯 - 《黑塔利亚》,belarus (hetalia)
贝尔法斯特 - 《碧蓝航线》,belfast (azur lane)
贝尔法斯特（与女仆长购物中） - 《碧蓝航线》,belfast (shopping with the head maid) (azur lane)
贝露丹蒂 - 《我的女神》,belldandy
铃（Belle） - 《绝区零》,belle (zenless zone zero)
红阎魔 - 《Fate》系列,beni-enma
红阎魔（第一灵基） - 《Fate》系列,beni-enma (first ascension)
贝尔娜黛塔·冯·瓦雷利 - 《火焰纹章：风花雪月》,bernadetta von varley
狂战士（兰斯洛特） - 《Fate/Zero》,berserker (fate/zero)
白露 - 《宝可梦》,bianca (pokemon)
bibi（常暗永远宠物） - Hololive虚拟主播,bibi (tokoyami towa)
*big boss,big boss
22娘 - Bilibili虚拟主播,bili girl 22
33娘 - Bilibili虚拟主播,bili girl 33
比纳 - 废墟图书馆,binah (project moon)
俾斯麦 - 《碧蓝航线》,bismarck (azur lane)
俾斯麦 - 《舰队Collection》,bismarck (kancolle)
琵琶晨光 - 《赛马娘》,biwa hayahide (umamusume)
*black general,black general
黑金锯手 - 《黑岩射手》,black gold saw
黑羽川 - 《物语系列》,black hanekawa
黑心 - 《超次元游戏海王星》,black heart (neptunia)
豆釘兔（黑暗淑女） - 《美少女战士》,black lady (sailor moon)
黑岩射手 - 《黑岩射手》,black rock shooter (character)
黑天鹅 - 《崩坏：星穹铁道》,black swan (honkai  star rail)
黑尾土拨鼠 - 《兽娘动物园》,black-tailed prairie dog (kemono friends)
刃 - 《崩坏：星穹铁道》,blade (honkai  star rail)
半狼布莱泽 - 《艾尔登法环》,blaidd the half-wolf
